[1,  x,  x^35,  x^37,  x^4,  x^39,  x^23,  x^7,  x^10,  x^30,  x^47,  0,  x^31,  x^15, ] 
[x^17,  x,  x^2,  x^37,  x^4,  x^22,  5,  x^41,  x^9,  x^10,  x^12,  x^29,  x^30,  4, ] 
[1,  x^34,  x^35,  x^19,  x^4,  x^6,  6,  x^7,  x^43,  x^10,  x^11,  x^28,  x^30,  x^31, ] 
[x^34,  x,  x^36,  x^21,  x^6,  6,  x^41,  x^25,  x^42,  x^44,  x^13,  x^14,  x^33,  2, ] 
[x^35,  x^18,  x^36,  x^3,  x^38,  x^23,  3,  x^26,  x^43,  x^27,  x^44,  x^46,  x^15,  2, ] 
[1,  x,  x^35,  x^2,  x^4,  x^22,  x^41,  3,  x^26,  x^9,  x^44,  x^27,  x^30,  x^33, ] 
[x^35,  x^2,  x^19,  x^21,  x^22,  x^23,  x^7,  x^9,  x^11,  x^28,  x^47,  0,  4,  x^33, ] 
[x^35,  x^2,  x^3,  x^20,  x^22,  x^23,  5,  x^26,  x^27,  x^44,  x^11,  x^46,  x^47,  2, ] 
[x,  x^31,  x^3,  x^33,  x^35,  x^12,  x^42,  x^43,  2,  x^17,  x^46,  x^47,  x^19,  0, ] 
[x^29,  x^31,  x^34,  x^6,  x^38,  x^10,  5,  x^41,  x^12,  x^43,  x^44,  x^45,  2,  x^17, ] 
